"day_celltype"	"inputsize"	"maxpadj"	"minabslfc"
"D0_ECs"	200	"0.269232440599932"	"0.302743011951039"
"D0_FAPs"	759	"0.205724448603882"	"0.300372894996736"
"D0_sCs"	811	"0.186213023669087"	"0.301253991440781"
"D2_ECs"	137	"0.473100603270732"	"0.318431676759625"
"D2_FAPs"	356	"0.223285165654296"	"0.301187108046788"
"D2_M1"	82	"0.501362372880774"	"0.313759832909362"
"D2_M2"	169	"0.253083003819653"	"0.302330379755769"
"D2_Neutro"	535	"0.214851312947082"	"0.30133705359169"
"D2_sCs"	1000	"0.0141307968995322"	"0.405389381381288"
"D4_ECs"	543	"0.216270897241552"	"0.30068111197136"
"D4_FAPs"	600	"0.206956318600058"	"0.300472544193809"
"D4_M1"	81	"0.511084760344574"	"0.308144296216412"
"D4_M2"	132	"0.322396393220277"	"0.309448631756496"
"D4_sCs"	924	"0.0339897933342248"	"0.301448818563818"
"D7_ECs"	767	"0.189208043448764"	"0.300556887866175"
"D7_FAPs"	647	"0.229657928945046"	"0.302429718346761"
"D7_M2"	209	"0.225403520744898"	"0.301363822919428"
"D7_sCs"	634	"0.151979677760363"	"0.300028915256103"
